scenario,family,episode_count,event_success_rate,legal_coverage_rate,recovery_delay,cumulative_uncovered_time,normalized_distance,load_gap,switch_count,episode_return,final_infeasible_rate,temporary_infeasible_rate,inference_latency_ms
atomic_triple_shock,Current-Pending Exact Planner,6,1.0,1.0,1.4666666666666668,6.674999999999998,0.09943689110435823,0.6805555555555555,7.333333333333333,19.104352753919468,0.0,0.0,6.187440211640212
atomic_triple_shock,GPPO-Adaptive,18,1.0,1.0,1.3888888888888888,6.507999999999999,0.08620591931132292,0.5717592592592592,6.944444444444445,19.132408309475025,0.0,0.0,14.980551929012345
atomic_triple_shock,Greedy Cost,6,1.0,1.0,1.4333333333333333,6.674999999999998,0.08920675827469175,0.5902777777777778,7.166666666666667,19.104352753919468,0.0,0.0,6.278708267195768
atomic_triple_shock,Min Load,6,1.0,1.0,1.4000000000000001,6.340999999999998,0.08593311576919847,0.5416666666666666,7.0,19.104352753919468,0.0,0.0,0.09512876984126983
atomic_triple_shock,Nearest Legal,6,1.0,1.0,1.4000000000000001,6.340999999999998,0.09850714473989168,0.9027777777777778,7.0,17.434809604180767,0.0,0.0,0.07987380952380953
atomic_triple_shock,PPO-MLP,18,1.0,1.0,1.4,6.340999999999998,0.08593311576919847,0.5416666666666666,7.0,19.104352753919468,0.0,0.0,2.792005324074074
event_storm_8,Current-Pending Exact Planner,6,1.0,1.0,2.0366666666666666,16.864666666666665,0.09866851132973847,1.0845238095238094,12.333333333333334,21.776377565553172,0.0,0.0,44.722141398809526
event_storm_8,GPPO-Adaptive,18,1.0,1.0,2.0922222222222224,17.253555555555554,0.07780649163557565,0.5503306878306877,12.777777777777779,22.443179613724087,0.0,0.0,13.477209522065339
event_storm_8,Greedy Cost,6,1.0,1.0,1.9533333333333334,16.024666666666665,0.05746586646813556,0.4843253968253968,11.666666666666666,22.897444985685013,0.0,0.0,13.227374480519481
event_storm_8,Min Load,6,1.0,1.0,2.0783333333333336,16.6985,0.041126449908776314,0.41984126984126985,12.666666666666666,22.629352753919466,0.0,0.0,0.16192949134199133
event_storm_8,Nearest Legal,6,1.0,1.0,2.0783333333333336,16.6985,0.041126449908776314,0.41984126984126985,12.666666666666666,22.629352753919466,0.0,0.0,0.0831973575036075
event_storm_8,PPO-MLP,18,1.0,1.0,2.0783333333333336,16.6985,0.041126449908776314,0.41984126984126985,12.666666666666666,22.629352753919466,0.0,0.0,1.8822339183501684
long_blind_burst,Current-Pending Exact Planner,6,1.0,1.0,1.7,10.347,0.08255717193540853,1.2222222222222223,8.5,13.203278319018347,0.0,0.0,26.535650138888887
long_blind_burst,GPPO-Adaptive,18,1.0,1.0,1.5666666666666667,10.012999999999998,0.016055285602712,0.6076388888888888,7.833333333333333,13.201244338332142,0.0,0.0,11.743395130070546
long_blind_burst,Greedy Cost,6,1.0,1.0,1.7,10.347,0.01810733510850968,0.59375,8.5,13.203278319018347,0.0,0.0,10.556749583333334
long_blind_burst,Min Load,6,1.0,1.0,1.7,10.347,0.01810733510850968,0.59375,8.5,13.203278319018347,0.0,0.0,0.11378078703703703
long_blind_burst,Nearest Legal,6,1.0,1.0,1.7,10.347,0.01810733510850968,0.59375,8.5,13.203278319018347,0.0,0.0,0.10303912037037037
long_blind_burst,PPO-MLP,18,1.0,1.0,1.7000000000000002,10.347,0.01810733510850968,0.59375,8.5,13.203278319018347,0.0,0.0,1.8033434567901234
out_of_order_reports,Current-Pending Exact Planner,6,1.0,1.0,0.8666666666666667,0.6678333333333333,0.10311973892303816,0.375,4.0,18.36578533378763,0.0,0.0,4.226458333333333
out_of_order_reports,GPPO-Adaptive,18,1.0,1.0,0.8777777777777778,0.6678888888888889,0.10641041687501457,0.3680555555555556,4.055555555555555,18.329593855487257,0.0,0.0,13.558413333333334
out_of_order_reports,Greedy Cost,6,1.0,1.0,0.9,0.6676666666666667,0.10434735486259815,0.3541666666666667,4.166666666666667,18.36578533378763,0.0,0.0,4.342220833333333
out_of_order_reports,Min Load,6,1.0,1.0,0.8666666666666667,0.6678333333333333,0.10311973892303816,0.375,4.0,18.36578533378763,0.0,0.0,0.096405
out_of_order_reports,Nearest Legal,6,1.0,1.0,0.8666666666666667,0.6678333333333333,0.10311973892303816,0.7083333333333334,4.0,17.699118667120963,0.0,0.0,0.0933525
